ARPT_ID,ICAO_ID,ARPT_NAME,LAT_DECIMAL,LONG_DECIMAL,ELEV,RESP_ARTCC_ID,COMPUTER_ID,ARTCC_NAME,TWR_TYPE_CODE,DCC REGION,ASPM82,OEP35,Core30,Tower,Approach,Secondary Approach,Departure,Secondary Departure,Approach/Departure,Approach ID,Secondary Approach ID,Departure ID,Secondary Departure ID,Approach/Departure ID,Consolidated Approach,Consolidated Approach ID,OPSNET45
0J0,,ABBEVILLE MUNI,31.60172027,-85.23854472,468.3,ZJX,ZCJ,JACKSONVILLE,NON-ATCT,Southeast,FALSE,FALSE,FALSE,,,,,,,,,,,,,,FALSE
2A8,,ADDISON MUNI,34.21714166,-87.15815833,786,ZME,ZCM,MEMPHIS,NON-ATCT,South Central,FALSE,FALSE,FALSE,,,,,,,,,,,,,,FALSE
AL03,,STRICKLAND/SMALLEY FLD,32.8475,-87.71388888,369,ZTL,ZCT,ATLANTA,NON-ATCT,Southeast,FALSE,FALSE,FALSE,,,,,,,,,,,,,,FALSE
EET,KEET,SHELBY COUNTY,33.17777777,-86.78322222,585.6,ZTL,ZCT,ATLANTA,NON-ATCT,Southeast,FALSE,FALSE,FALSE,,BIRMINGHAM,,BIRMINGHAM,,,BHM,,BHM,,,BIRMINGHAM,BHM,FALSE
AL39,,SHELBY MEDICAL CENTER,33.25222222,-86.81222222,510,ZTL,ZCT,ATLANTA,NON-ATCT,Southeast,FALSE,FALSE,FALSE,,,,,,,,,,,,,,FALSE
BFZ,KBFZ,ALBERTVILLE RGNL/THOMAS J BRUMLIK FLD,34.22911111,-86.25575,1032.3,ZTL,ZCT,ATLANTA,NON-ATCT,Southeast,FALSE,FALSE,FALSE,,BIRMINGHAM,,BIRMINGHAM,,,BHM,,BHM,,,BIRMINGHAM,BHM,FALSE
ALX,KALX,THOMAS C RUSSELL FLD,32.91475,-85.96294444,685.8,ZTL,ZCT,ATLANTA,NON-ATCT,Southeast,FALSE,FALSE,FALSE,,MONTGOMERY,ATLANTA ARTCC,MONTGOMERY,ATLANTA ARTCC,,MGM,ZTL,MGM,ZTL,,MONTGOMERY / ATLANTA ARTCC,MGM / ZTL,FALSE
33AL,,RUSSELL MEDICAL,32.93007777,-85.97090833,703,ZTL,ZCT,ATLANTA,NON-ATCT,Southeast,FALSE,FALSE,FALSE,,,,,,,,,,,,,,FALSE
AIV,KAIV,GEORGE DOWNER,33.10674444,-88.197175,150,ZME,ZCM,MEMPHIS,NON-ATCT,South Central,FALSE,FALSE,FALSE,,COLUMBUS,MEMPHIS ARTCC,COLUMBUS,MEMPHIS ARTCC,,CBM,ZME,CBM,ZME,,COLUMBUS / MEMPHIS ARTCC,CBM / ZME,FALSE
79J,,SOUTH ALABAMA RGNL AT BILL BENTON FLD,31.30836111,-86.39222222,310.2,ZJX,ZCJ,JACKSONVILLE,NON-ATCT,Southeast,FALSE,FALSE,FALSE,,CAIRNS,JACKSONVILLE ARTCC,CAIRNS,JACKSONVILLE ARTCC,,OZR,ZJX,OZR,ZJX,,CAIRNS / JACKSONVILLE ARTCC,OZR / ZJX,FALSE
ANB,KANB,ANNISTON RGNL,33.58816666,-85.85811111,612,ZTL,ZCT,ATLANTA,NON-ATCT,Southeast,FALSE,FALSE,FALSE,,BIRMINGHAM,,BIRMINGHAM,,,BHM,,BHM,,,BIRMINGHAM,BHM,FALSE
AL42,,REGIONAL MEDICAL CENTER ANNISTON,33.65600555,-85.82444444,844,ZTL,ZCT,ATLANTA,NON-ATCT,Southeast,FALSE,FALSE,FALSE,,,,,,,,,,,,,,FALSE
04AL,,ANNISTON ARMY DEPOT HELIPAD,33.62638888,-85.96722222,686,ZTL,ZCT,ATLANTA,NON-ATCT,Southeast,FALSE,FALSE,FALSE,,,,,,,,,,,,,,FALSE
51AL,,ARDMORE,34.9790748,-86.88328483,922,ZME,ZCM,MEMPHIS,NON-ATCT,South Central,FALSE,FALSE,FALSE,,HUNTSVILLE,MEMPHIS ARTCC,HUNTSVILLE,MEMPHIS ARTCC,,HSV,ZME,HSV,ZME,,HUNTSVILLE / MEMPHIS ARTCC,HSV / ZME,FALSE
90KY,,MOTHER NATURE SPRING WATER,37.25874722,-82.46147777,1000,ZID,ZCI,INDIANAPOLIS,NON-ATCT,Southeast,FALSE,FALSE,FALSE,,,,,,,,,,,,,,FALSE
26A,,ASHLAND/LINEVILLE,33.28419722,-85.80896527,1065,ZTL,ZCT,ATLANTA,NON-ATCT,Southeast,FALSE,FALSE,FALSE,,,,,,,,,,,,,,FALSE
0AL2,,CLAY COUNTY HOSPITAL,33.27721666,-85.82481944,1040,ZTL,ZCT,ATLANTA,NON-ATCT,Southeast,FALSE,FALSE,FALSE,,,,,,,,,,,,,,FALSE
AL60,,DUGGER'S FLD,33.83870972,-86.21136527,560,ZTL,ZCT,ATLANTA,NON-ATCT,Southeast,FALSE,FALSE,FALSE,,,,,,,,,,,,,,FALSE
5AL9,,ATHENS-LIMESTONE HOSPITAL HELIPAD,34.80281666,-86.98060555,693,ZME,ZCM,MEMPHIS,NON-ATCT,South Central,FALSE,FALSE,FALSE,,,,,,,,,,,,,,FALSE
56AL,,BEECHWOOD AIRPARK,34.77277777,-87.17458333,646.8,ZME,ZCM,MEMPHIS,NON-ATCT,South Central,FALSE,FALSE,FALSE,,,,,,,,,,,,,,FALSE
0R1,,ATMORE MUNI,31.01613888,-87.44675,286,ZJX,ZCJ,JACKSONVILLE,NON-ATCT,Southeast,FALSE,FALSE,FALSE,,PENSACOLA,,PENSACOLA,,,P31,,P31,,,PENSACOLA,P31,FALSE
AUO,KAUO,AUBURN UNIVERSITY RGNL,32.61511111,-85.434,776.8,ZTL,ZCT,ATLANTA,ATCT,Southeast,FALSE,FALSE,FALSE,AUBURN,ATLANTA,ATLANTA ARTCC,ATLANTA,ATLANTA ARTCC,,A80,ZTL,A80,ZTL,,ATLANTA / ATLANTA ARTCC,A80 / ZTL,FALSE
1R8,,BAY MINETTE MUNI,30.87033333,-87.81933333,248.1,ZHU,ZCH,HOUSTON,NON-ATCT,South Central,FALSE,FALSE,FALSE,,MOBILE,HOUSTON ARTCC,MOBILE,HOUSTON ARTCC,,MOB,ZHU,MOB,ZHU,,MOBILE / HOUSTON ARTCC,MOB / ZHU,FALSE
6AL9,,MEGA SITE HELIPAD,30.94861111,-87.74555555,284,ZHU,ZCH,HOUSTON,NON-ATCT,South Central,FALSE,FALSE,FALSE,,,,,,,,,,,,,,FALSE
96AL,,BENT OAK,30.82768452,-87.88917741,87,ZHU,ZCH,HOUSTON,NON-ATCT,South Central,FALSE,FALSE,FALSE,,,,,,,,,,,,,,FALSE
5R7,,ROY E RAY,30.45525,-88.21119444,87,ZHU,ZCH,HOUSTON,NON-ATCT,South Central,FALSE,FALSE,FALSE,,,,,,,,,,,,,,FALSE
AL67,,W&T OFFSHORE OTF,30.43111111,-88.17916666,32.9,ZHU,ZCH,HOUSTON,NON-ATCT,South Central,FALSE,FALSE,FALSE,,MOBILE,,MOBILE,,,MOB,,MOB,,,MOBILE,MOB,FALSE
EKY,KEKY,BESSEMER NTL,33.31261111,-86.92630555,699.6,ZTL,ZCT,ATLANTA,NON-ATCT,Southeast,FALSE,FALSE,FALSE,,BIRMINGHAM,,BIRMINGHAM,,,BHM,,BHM,,,BIRMINGHAM,BHM,FALSE
AL19,,MEDICAL WEST,33.37155833,-86.99100555,670,ZTL,ZCT,ATLANTA,NON-ATCT,Southeast,FALSE,FALSE,FALSE,,,,,,,,,,,,,,FALSE
AL80,,UAB MEDICAL WEST,33.33083583,-86.98384594,631,ZTL,ZCT,ATLANTA,NON-ATCT,Southeast,FALSE,FALSE,FALSE,,,,,,,,,,,,,,FALSE
BHM,KBHM,BIRMINGHAM-SHUTTLESWORTH INTL,33.56388888,-86.75230555,650,ZTL,ZCT,ATLANTA,ATCT-TRACON,Southeast,TRUE,FALSE,FALSE,BIRMINGHAM,BIRMINGHAM,,BIRMINGHAM,,BIRMINGHAM,BHM,,BHM,,,BIRMINGHAM,BHM,FALSE
AL50,,BAPTIST MEDICAL CENTER-PRINCETON,33.49760583,-86.84637944,557,ZTL,ZCT,ATLANTA,NON-ATCT,Southeast,FALSE,FALSE,FALSE,,,,,,,,,,,,,,FALSE
AL49,,CARRAWAY MEDICAL CENTER,33.53578333,-86.81140555,672,ZTL,ZCT,ATLANTA,NON-ATCT,Southeast,FALSE,FALSE,FALSE,,,,,,,,,,,,,,FALSE
AL91,,THE CHILDRENS HOSPITAL,33.50427194,-86.8052675,698,ZTL,ZCT,ATLANTA,NON-ATCT,Southeast,FALSE,FALSE,FALSE,,,,,,,,,,,,,,FALSE
AL38,,UNIVERSITY OF ALABAMA HOSPITAL,33.50586111,-86.80277777,787,ZTL,ZCT,ATLANTA,NON-ATCT,Southeast,FALSE,FALSE,FALSE,,,,,,,,,,,,,,FALSE
0AL8,,BROOKWOOD MEDICAL CENTER,33.46407222,-86.77286944,763,ZTL,ZCT,ATLANTA,NON-ATCT,Southeast,FALSE,FALSE,FALSE,,,,,,,,,,,,,,FALSE
AL45,,GRANDVIEW MEDICAL CENTER,33.432875,-86.71609444,540,ZTL,ZCT,ATLANTA,NON-ATCT,Southeast,FALSE,FALSE,FALSE,,,,,,,,,,,,,,FALSE
AL66,,ALABAMA POWER HEADQUARTERS,33.51954972,-86.81360111,676,ZTL,ZCT,ATLANTA,NON-ATCT,Southeast,FALSE,FALSE,FALSE,,,,,,,,,,,,,,FALSE
AL65,,ST VINCENTS EAST,33.59697222,-86.66780833,1070,ZTL,ZCT,ATLANTA,NON-ATCT,Southeast,FALSE,FALSE,FALSE,,,,,,,,,,,,,,FALSE
AL40,,BONHAM,33.54316194,-86.98582777,600,ZTL,ZCT,ATLANTA,NON-ATCT,Southeast,FALSE,FALSE,FALSE,,,,,,,,,,,,,,FALSE
AL29,,NEW HORIZON,34.12926388,-86.63332666,750,ZTL,ZCT,ATLANTA,NON-ATCT,Southeast,FALSE,FALSE,FALSE,,,,,,,,,,,,,,FALSE
1AL0,,MARSHALL MEDICAL CENTER SOUTH,34.22042222,-86.16091944,1035,ZTL,ZCT,ATLANTA,NON-ATCT,Southeast,FALSE,FALSE,FALSE,,,,,,,,,,,,,,FALSE
8AL3,,FRICKS FLD,34.14176666,-86.08856666,1000,ZTL,ZCT,ATLANTA,NON-ATCT,Southeast,FALSE,FALSE,FALSE,,,,,,,,,,,,,,FALSE
3AL6,,TOWN & COUNTRY AIRPARK,33.65677777,-86.41247222,730,ZTL,ZCT,ATLANTA,NON-ATCT,Southeast,FALSE,FALSE,FALSE,,,,,,,,,,,,,,FALSE
AL30,,ROCKY SPRINGS AIRPARK,33.99083333,-87.07777777,649,ZTL,ZCT,ATLANTA,NON-ATCT,Southeast,FALSE,FALSE,FALSE,,,,,,,,,,,,,,FALSE
12J,,BREWTON MUNI,31.05071138,-87.06726666,98.8,ZJX,ZCJ,JACKSONVILLE,NON-ATCT,Southeast,FALSE,FALSE,FALSE,,PENSACOLA,,PENSACOLA,,,P31,,P31,,,PENSACOLA,P31,FALSE
0AL6,,D W MCMILLIAN MEML HOSPITAL,31.12566944,-87.07346944,155,ZJX,ZCJ,JACKSONVILLE,NON-ATCT,Southeast,FALSE,FALSE,FALSE,,,,,,,,,,,,,,FALSE
42AL,,CHOCTAW GENERAL HOSPITAL,32.09333611,-88.21036111,133,ZME,ZCM,MEMPHIS,NON-ATCT,South Central,FALSE,FALSE,FALSE,,,,,,,,,,,,,,FALSE
09A,,BUTLER/CHOCTAW COUNTY,32.11930555,-88.12747222,133.7,ZME,ZCM,MEMPHIS,NON-ATCT,South Central,FALSE,FALSE,FALSE,,MERIDIAN,ATLANTA ARTCC,MERIDIAN,ATLANTA ARTCC,,NMM,ZTL,NMM,ZTL,,MERIDIAN / ATLANTA ARTCC,NMM / ZTL,FALSE
61A,,CAMDEN MUNI,31.97975,-87.33911111,142.9,ZTL,ZCT,ATLANTA,NON-ATCT,Southeast,FALSE,FALSE,FALSE,,ATLANTA ARTCC,,ATLANTA ARTCC,,,ZTL,,ZTL,,,ATLANTA ARTCC,ZTL,FALSE
AL01,,PICKENS COUNTY MEDICAL CENTER,33.27420833,-88.08933333,239,ZME,ZCM,MEMPHIS,NON-ATCT,South Central,FALSE,FALSE,FALSE,,,,,,,,,,,,,,FALSE
AL32,,FLYING BK RANCH,34.32258888,-85.64371388,670,ZTL,ZCT,ATLANTA,NON-ATCT,Southeast,FALSE,FALSE,FALSE,,,,,,,,,,,,,,FALSE
81AL,,BIBB MEDICAL CENTER,32.95179722,-87.14818611,254,ZTL,ZCT,ATLANTA,NON-ATCT,Southeast,FALSE,FALSE,FALSE,,,,,,,,,,,,,,FALSE
AL27,,HEADQUARTERS,34.10565277,-85.56579388,610,ZTL,ZCT,ATLANTA,NON-ATCT,Southeast,FALSE,FALSE,FALSE,,,,,,,,,,,,,,FALSE
PYP,KPYP,CENTRE PIEDMONT/CHEROKEE COUNTY RGNL,34.08991666,-85.61008333,594.6,ZTL,ZCT,ATLANTA,NON-ATCT,Southeast,FALSE,FALSE,FALSE,,ATLANTA ARTCC,,ATLANTA ARTCC,,,ZTL,,ZTL,,,ATLANTA ARTCC,ZTL,FALSE
0A8,,BIBB COUNTY,32.93693888,-87.09054722,250.9,ZTL,ZCT,ATLANTA,NON-ATCT,Southeast,FALSE,FALSE,FALSE,,ATLANTA ARTCC,,ATLANTA ARTCC,,,ZTL,,ZTL,,,ATLANTA ARTCC,ZTL,FALSE
5AL1,,MC GOWIN FLD,31.68071277,-86.68191694,400,ZTL,ZCT,ATLANTA,NON-ATCT,Southeast,FALSE,FALSE,FALSE,,,,,,,,,,,,,,FALSE
5R1,,ROY WILCOX,31.45166688,-88.19442663,166,ZHU,ZCH,HOUSTON,NON-ATCT,South Central,FALSE,FALSE,FALSE,,HOUSTON ARTCC,,HOUSTON ARTCC,,,ZHU,,ZHU,,,HOUSTON ARTCC,ZHU,FALSE
6AL6,,HAWTHORN PINES,31.38858333,-88.09258333,150,ZHU,ZCH,HOUSTON,NON-ATCT,South Central,FALSE,FALSE,FALSE,,,,,,,,,,,,,,FALSE
39AL,,WASHINGTON COUNTY HOSPITAL ER,31.45905555,-88.23447222,187.5,ZHU,ZCH,HOUSTON,NON-ATCT,South Central,FALSE,FALSE,FALSE,,,,,,,,,,,,,,FALSE
AL68,,ROCKET SHOALS,34.74417644,-87.886576,493,ZME,ZCM,MEMPHIS,NON-ATCT,South Central,FALSE,FALSE,FALSE,,,,,,,,,,,,,,FALSE
35AL,,SILCOX MEML,31.08959722,-88.24507222,339,ZHU,ZCH,HOUSTON,NON-ATCT,South Central,FALSE,FALSE,FALSE,,,,,,,,,,,,,,FALSE
02A,,CHILTON COUNTY,32.85048447,-86.61143247,584.7,ZTL,ZCT,ATLANTA,NON-ATCT,Southeast,FALSE,FALSE,FALSE,,MONTGOMERY,ATLANTA ARTCC,MONTGOMERY,ATLANTA ARTCC,,MGM,ZTL,MGM,ZTL,,MONTGOMERY / ATLANTA ARTCC,MGM / ZTL,FALSE
01AL,,WARE ISLAND,32.94595611,-86.51386833,344,ZTL,ZCT,ATLANTA,NON-ATCT,Southeast,FALSE,FALSE,FALSE,,,,,,,,,,,,,,FALSE
8AL0,,MITCHELL DAM,32.8005,-86.4465,442,ZTL,ZCT,ATLANTA,NON-ATCT,Southeast,FALSE,FALSE,FALSE,,,,,,,,,,,,,,FALSE
5AL4,,CHILTON CO HEALTH CARE AUTH,32.88070555,-86.62107222,677,ZTL,ZCT,ATLANTA,NON-ATCT,Southeast,FALSE,FALSE,FALSE,,,,,,,,,,,,,,FALSE
11A,,CLAYTON MUNI,31.88332444,-85.48522472,434.9,ZJX,ZCJ,JACKSONVILLE,NON-ATCT,Southeast,FALSE,FALSE,FALSE,,CAIRNS,ATLANTA ARTCC,CAIRNS,ATLANTA ARTCC,,OZR,ZTL,OZR,ZTL,,CAIRNS / ATLANTA ARTCC,OZR / ZTL,FALSE
9AL6,,FLYING HOG FARM,31.236107,-85.14170541,241,ZJX,ZCJ,JACKSONVILLE,NON-ATCT,Southeast,FALSE,FALSE,FALSE,,,,,,,,,,,,,,FALSE
1AL2,,TRI-L ACRES AIRPARK,33.24715277,-86.59791666,580,ZTL,ZCT,ATLANTA,NON-ATCT,Southeast,FALSE,FALSE,FALSE,,,,,,,,,,,,,,FALSE
91AL,,SHELBY COUNTY SHERIFF'S OFFICE,33.18661944,-86.6268,593,ZTL,ZCT,ATLANTA,NON-ATCT,Southeast,FALSE,FALSE,FALSE,,,,,,,,,,,,,,FALSE
AL13,,WESTROCK - MAHRT MILL,32.17237444,-85.02881916,95,ZTL,ZCT,ATLANTA,NON-ATCT,Southeast,FALSE,FALSE,FALSE,,,,,,,,,,,,,,FALSE
9A4,,COURTLAND,34.65815833,-87.34855805,588,ZME,ZCM,MEMPHIS,NON-ATCT,South Central,FALSE,FALSE,FALSE,,HUNTSVILLE,MEMPHIS ARTCC,HUNTSVILLE,MEMPHIS ARTCC,,HSV,ZME,HSV,ZME,,HUNTSVILLE / MEMPHIS ARTCC,HSV / ZME,FALSE
AL51,,FLYING C'S PLANTATION,32.41611111,-85.29916666,395,ZTL,ZCT,ATLANTA,NON-ATCT,Southeast,FALSE,FALSE,FALSE,,,,,,,,,,,,,,FALSE
15A,,MARK REYNOLDS/NORTH MOBILE COUNTY,30.90913888,-87.99633333,8,ZHU,ZCH,HOUSTON,NON-ATCT,South Central,FALSE,FALSE,FALSE,,,,,,,,,,,,,,FALSE
CMD,KCMD,CULLMAN RGNL/FOLSOM FLD,34.2687025,-86.85803527,969.6,ZME,ZCM,MEMPHIS,NON-ATCT,South Central,FALSE,FALSE,FALSE,,HUNTSVILLE,MEMPHIS ARTCC,HUNTSVILLE,MEMPHIS ARTCC,,HSV,ZME,HSV,ZME,,HUNTSVILLE / MEMPHIS ARTCC,HSV / ZME,FALSE
3AL9,,CULLMAN RGNL MEDICAL CENTER,34.20198333,-86.8065,826,ZME,ZCM,MEMPHIS,NON-ATCT,South Central,FALSE,FALSE,FALSE,,,,,,,,,,,,,,FALSE
5AL6,,LAKE MARTIN COMMUNITY HOSPITAL,32.81849166,-85.74151111,668,ZTL,ZCT,ATLANTA,NON-ATCT,Southeast,FALSE,FALSE,FALSE,,,,,,,,,,,,,,FALSE
30AL,,MED FLIGHT 2,34.373,-87.0805,650,ZME,ZCM,MEMPHIS,NON-ATCT,South Central,FALSE,FALSE,FALSE,,,,,,,,,,,,,,FALSE
4R9,,JEREMIAH DENTON,30.26048166,-88.12747305,4.6,ZHU,ZCH,HOUSTON,NON-ATCT,South Central,FALSE,FALSE,FALSE,,,,,,,,,,,,,,FALSE
6AL8,,MALBIS MED PARK-INFIRMARY HEALTH,30.65463611,-87.85425277,195,ZHU,ZCH,HOUSTON,NON-ATCT,South Central,FALSE,FALSE,FALSE,,,,,,,,,,,,,,FALSE
4AL3,,TREEO,30.59180555,-87.82258333,130,ZHU,ZCH,HOUSTON,NON-ATCT,South Central,FALSE,FALSE,FALSE,,,,,,,,,,,,,,FALSE
AL47,,BELFOREST FIELD,30.59495,-87.82091805,150,ZHU,ZCH,HOUSTON,NON-ATCT,South Central,FALSE,FALSE,FALSE,,,,,,,,,,,,,,FALSE
DCU,KDCU,PRYOR FLD RGNL,34.65405555,-86.94536111,592,ZME,ZCM,MEMPHIS,NON-ATCT,South Central,FALSE,FALSE,FALSE,,HUNTSVILLE,MEMPHIS ARTCC,HUNTSVILLE,MEMPHIS ARTCC,,HSV,ZME,HSV,ZME,,HUNTSVILLE / MEMPHIS ARTCC,HSV / ZME,FALSE
1AL1,,DECATUR MORGAN HOSPITAL,34.59209722,-86.972125,588,ZME,ZCM,MEMPHIS,NON-ATCT,South Central,FALSE,FALSE,FALSE,,,,,,,,,,,,,,FALSE
DYA,KDYA,DEMOPOLIS RGNL,32.46383333,-87.95405555,111.7,ZME,ZCM,MEMPHIS,NON-ATCT,South Central,FALSE,FALSE,FALSE,,MERIDIAN,ATLANTA ARTCC,MERIDIAN,ATLANTA ARTCC,,NMM,ZTL,NMM,ZTL,,MERIDIAN / ATLANTA ARTCC,NMM / ZTL,FALSE
AL14,,WHITFIELD RGNL HOSPITAL,32.50555555,-87.83638888,154,ZTL,ZCT,ATLANTA,NON-ATCT,Southeast,FALSE,FALSE,FALSE,,,,,,,,,,,,,,FALSE
AL20,,SOUTHEAST ALABAMA MEDICAL CENTER,31.21810277,-85.36745555,314,ZJX,ZCJ,JACKSONVILLE,NON-ATCT,Southeast,FALSE,FALSE,FALSE,,,,,,,,,,,,,,FALSE
AL59,,FLOWERS HOSPITAL,31.23736666,-85.45478333,305,ZJX,ZCJ,JACKSONVILLE,NON-ATCT,Southeast,FALSE,FALSE,FALSE,,,,,,,,,,,,,,FALSE
DHN,KDHN,DOTHAN RGNL,31.32102777,-85.44947222,400.8,ZJX,ZCJ,JACKSONVILLE,ATCT,Southeast,FALSE,FALSE,FALSE,DOTHAN,CAIRNS,JACKSONVILLE ARTCC,CAIRNS,JACKSONVILLE ARTCC,,OZR,ZJX,OZR,ZJX,,CAIRNS / JACKSONVILLE ARTCC,OZR / ZJX,FALSE
1AL9,,BARBER MARINA,30.31545,-87.57237777,14,ZJX,ZCJ,JACKSONVILLE,NON-ATCT,Southeast,FALSE,FALSE,FALSE,,,,,,,,,,,,,,FALSE
14J,,CARL FOLSOM,31.41004166,-86.09033611,258,ZJX,ZCJ,JACKSONVILLE,NON-ATCT,Southeast,FALSE,FALSE,FALSE,,,,,,,,,,,,,,FALSE
7AL9,,HORAK,30.46922777,-87.54391111,110,ZJX,ZCJ,JACKSONVILLE,NON-ATCT,Southeast,FALSE,FALSE,FALSE,,,,,,,,,,,,,,FALSE
AL08,,PERDIDO WINDS AIRPARK,30.42500833,-87.53670555,75,ZJX,ZCJ,JACKSONVILLE,NON-ATCT,Southeast,FALSE,FALSE,FALSE,,,,,,,,,,,,,,FALSE
AL55,,SHIELDS,30.44186388,-87.46386833,95,ZJX,ZCJ,JACKSONVILLE,NON-ATCT,Southeast,FALSE,FALSE,FALSE,,,,,,,,,,,,,,FALSE
EDN,KEDN,ENTERPRISE MUNI,31.29972222,-85.89983333,360.9,ZJX,ZCJ,JACKSONVILLE,NON-ATCT,Southeast,FALSE,FALSE,FALSE,,CAIRNS,JACKSONVILLE ARTCC,CAIRNS,JACKSONVILLE ARTCC,,OZR,ZJX,OZR,ZJX,,CAIRNS / JACKSONVILLE ARTCC,OZR / ZJX,FALSE
EUF,KEUF,WEEDON FLD,31.95130555,-85.12891666,285.2,ZTL,ZCT,ATLANTA,NON-ATCT,Southeast,FALSE,FALSE,FALSE,,ATLANTA,ATLANTA ARTCC,ATLANTA,ATLANTA ARTCC,,A80,ZTL,A80,ZTL,,ATLANTA / ATLANTA ARTCC,A80 / ZTL,FALSE
AL00,,MEDICAL CENTER BARBOUR,31.88945277,-85.15621666,299,ZTL,ZCT,ATLANTA,NON-ATCT,Southeast,FALSE,FALSE,FALSE,,,,,,,,,,,,,,FALSE
3A7,,EUTAW MUNI,32.82041666,-87.86508333,170,ZTL,ZCT,ATLANTA,NON-ATCT,Southeast,FALSE,FALSE,FALSE,,,,,,,,,,,,,,FALSE
09AL,,GREENE COUNTY HOSPITAL & NURSING HOME,32.84241111,-87.890525,218,ZTL,ZCT,ATLANTA,NON-ATCT,Southeast,FALSE,FALSE,FALSE,,,,,,,,,,,,,,FALSE
GZH,KGZH,EVERGREEN RGNL/MIDDLETON FLD,31.415,-87.04336111,259,ZJX,ZCJ,JACKSONVILLE,NON-ATCT,Southeast,FALSE,FALSE,FALSE,,JACKSONVILLE ARTCC,,JACKSONVILLE ARTCC,,,ZJX,,ZJX,,,JACKSONVILLE ARTCC,ZJX,FALSE
0AL3,,HOSPITAL PAD,31.4301,-86.94021666,295,ZJX,ZCJ,JACKSONVILLE,NON-ATCT,Southeast,FALSE,FALSE,FALSE,,,,,,,,,,,,,,FALSE
CQF,KCQF,H L SONNY CALLAHAN,30.4605,-87.87702777,91.1,ZHU,ZCH,HOUSTON,NON-ATCT,South Central,FALSE,FALSE,FALSE,,MOBILE,HOUSTON ARTCC,MOBILE,HOUSTON ARTCC,,MOB,ZHU,MOB,ZHU,,MOBILE / HOUSTON ARTCC,MOB / ZHU,FALSE
M95,,RICHARD ARTHUR FLD,33.70910583,-87.81520861,357.4,ZME,ZCM,MEMPHIS,NON-ATCT,South Central,FALSE,FALSE,FALSE,,COLUMBUS,MEMPHIS ARTCC,COLUMBUS,MEMPHIS ARTCC,,CBM,ZME,CBM,ZME,,COLUMBUS / MEMPHIS ARTCC,CBM / ZME,FALSE
3AL0,,FAYETTE MEDICAL CENTER,33.70916666,-87.82361111,370,ZME,ZCM,MEMPHIS,NON-ATCT,South Central,FALSE,FALSE,FALSE,,,,,,,,,,,,,,FALSE
4AL7,,LEON'S LANDING,34.74472222,-85.68983333,1430,ZTL,ZCT,ATLANTA,NON-ATCT,Southeast,FALSE,FALSE,FALSE,,,,,,,,,,,,,,FALSE
43AL,,FLAT ROCK COMMUNITY CLUB,34.76891944,-85.69620555,1289,ZTL,ZCT,ATLANTA,NON-ATCT,Southeast,FALSE,FALSE,FALSE,,,,,,,,,,,,,,FALSE
52AL,,TRIPLE R RIDGE,34.80291666,-85.64969444,1504,ZTL,ZCT,ATLANTA,NON-ATCT,Southeast,FALSE,FALSE,FALSE,,,,,,,,,,,,,,FALSE
0AL5,,FLOMATON,31.03222222,-87.25277777,247,ZJX,ZCJ,JACKSONVILLE,NON-ATCT,Southeast,FALSE,FALSE,FALSE,,,,,,,,,,,,,,FALSE
7AL8,,FLORALA EMERGENCY HELIPAD,31.00091111,-86.31365555,324,ZJX,ZCJ,JACKSONVILLE,NON-ATCT,Southeast,FALSE,FALSE,FALSE,,,,,,,,,,,,,,FALSE
0J4,,FLORALA MUNI,31.04247361,-86.31156111,314.3,ZJX,ZCJ,JACKSONVILLE,NON-ATCT,Southeast,FALSE,FALSE,FALSE,,CAIRNS,,CAIRNS,,,OZR,,OZR,,,CAIRNS,OZR,FALSE
AL46,,SHOALS CREEK,34.902585,-87.58724777,510,ZME,ZCM,MEMPHIS,NON-ATCT,South Central,FALSE,FALSE,FALSE,,,,,,,,,,,,,,FALSE
0AL9,,WILSON CREEK,34.85,-87.6325,590,ZME,ZCM,MEMPHIS,NON-ATCT,South Central,FALSE,FALSE,FALSE,,,,,,,,,,,,,,FALSE
40AL,,NORTH ALABAMA MEDICAL CENTER,34.805125,-87.65281944,526,ZME,ZCM,MEMPHIS,NON-ATCT,South Central,FALSE,FALSE,FALSE,,,,,,,,,,,,,,FALSE
0AL1,,RESORT,30.44388888,-87.65694444,97,ZJX,ZCJ,JACKSONVILLE,NON-ATCT,Southeast,FALSE,FALSE,FALSE,,,,,,,,,,,,,,FALSE
02AL,,BASS FLD,30.37146388,-87.76444444,61,ZJX,ZCJ,JACKSONVILLE,NON-ATCT,Southeast,FALSE,FALSE,FALSE,,,,,,,,,,,,,,FALSE
3AL4,,FOLEY HOSPITAL,30.42666944,-87.68511388,85,ZJX,ZCJ,JACKSONVILLE,NON-ATCT,Southeast,FALSE,FALSE,FALSE,,,,,,,,,,,,,,FALSE
5R4,,HOLK FLD AT FOLEY MUNI,30.42766666,-87.70097222,74.3,ZJX,ZCJ,JACKSONVILLE,NON-ATCT,Southeast,FALSE,FALSE,FALSE,,PENSACOLA,,PENSACOLA,,,P31,,P31,,,PENSACOLA,P31,FALSE
NBJ,KNBJ,BARIN NOLF,30.39031386,-87.63156008,50.8,ZJX,ZCJ,JACKSONVILLE,NON-ATCT,Southeast,FALSE,FALSE,FALSE,,,,,,,,,,,,,,FALSE
