source_file,table
CODE_FIXES_INVENTORY.md,production
CODE_FIXES_INVENTORY.md,table
CODE_INCONSISTENCIES.md,migration
CODE_INCONSISTENCIES.md,one
CODE_INCONSISTENCIES_EXPLAINED.md,20
CODE_INCONSISTENCIES_EXPLAINED.md,30000ms
CODE_INCONSISTENCIES_EXPLAINED.md,Foundation
CODE_INCONSISTENCIES_EXPLAINED.md,ISO
CODE_INCONSISTENCIES_EXPLAINED.md,REST
CODE_INCONSISTENCIES_EXPLAINED.md,adl_flight_core
CODE_INCONSISTENCIES_EXPLAINED.md,different
CODE_INCONSISTENCIES_EXPLAINED.md,existing
CODE_INCONSISTENCIES_EXPLAINED.md,nearby
CODE_INCONSISTENCIES_EXPLAINED.md,route_cdr
CODE_INCONSISTENCIES_EXPLAINED.md,the
CODE_INCONSISTENCIES_EXPLAINED.md,tmi_entries
CODE_INCONSISTENCIES_EXPLAINED.md,tmi_reroutes
CODE_INCONSISTENCIES_EXPLAINED.md,tutorials
CODE_INCONSISTENCIES_EXPLAINED.md,users
CODE_PATTERNS_CATALOG.md,TMI
CODE_PATTERNS_CATALOG.md,production
CODE_PATTERNS_CATALOG.md,syntax
CODE_PATTERNS_CATALOG.md,table
CODING_STANDARDS.md,table
CODING_STANDARDS.md,users
DEPENDENCY_MAP.md,frontend
DEPENDENCY_MAP.md,gdt_programs
DEPENDENCY_MAP.md,plan
DEPENDENCY_MAP.md,tmi_entries
GDT_Incremental_Migration.md,INFORMATION_SCHEMA.COLUMNS
GDT_Incremental_Migration.md,config.php
GDT_Incremental_Migration.md,slot_time_utc
GDT_Incremental_Migration.md,sys.procedures
GDT_Incremental_Migration.md,sys.tables
GDT_Incremental_Migration.md,sys.types
GDT_Incremental_Migration.md,sys.views
GDT_Phase1_Transition.md,January
GDT_Phase1_Transition.md,config.php
GDT_Phase1_Transition.md,filed
GDT_Phase1_Transition.md,sys.objects
GDT_Phase1_Transition.md,sys.procedures
GDT_Phase1_Transition.md,sys.tables
GDT_Phase1_Transition.md,sys.views
GDT_Unified_Design_Document_v1.1.md,ADL
GDT_Unified_Design_Document_v1.1.md,config.example.php
GDT_Unified_Design_Document_v1.1.md,phase
NAMING_CONVENTIONS.md,API
NAMING_CONVENTIONS.md,storage
ORPHANED_FILES.md,any
ORPHANED_FILES.md,page
ORPHANED_FILES.md,weather
PERTI_MIGRATION_TRACKER.md,API
PERTI_MIGRATION_TRACKER.md,ARTCC
PERTI_MIGRATION_TRACKER.md,DB
PERTI_MIGRATION_TRACKER.md,PERTI_TMI_TYPES
PERTI_MIGRATION_TRACKER.md,the
PERTI_MIGRATION_TRACKER.md,window.JATOC_FACILITY_DATA
PLAN.md,config
PLAN.md,existing
README.md,ECFMP
README.md,FAA
README.md,incident
README.md,play
STYLING_GUIDE.md,codebase
TMI_Documentation_Index.md,FAA
TMI_Documentation_Index.md,bot
adl/ARCHITECTURE.md,CONUS
adl/ARCHITECTURE.md,Frequency
adl/ARCHITECTURE.md,GIS
adl/ARCHITECTURE.md,adl_flight_waypoints
adl/ARCHITECTURE.md,purpose
adl/ARCHITECTURE.md,route
adl/ARCHITECTURE.md,vw_adl_flights
adl/DAEMON_SETUP.md,dbo.adl_flight_core
adl/DAEMON_SETUP.md,dbo.adl_flight_plan
adl/DAEMON_SETUP.md,dbo.adl_flight_position
adl/DAEMON_SETUP.md,dbo.adl_parse_queue
adl/DAEMON_SETUP.md,the
adl/ETA_AircraftPerf_Transition_Summary.md,POH
adl/ETA_AircraftPerf_Transition_Summary.md,aircraft_performance_profiles
adl/ETA_AircraftPerf_Transition_Summary.md,dbo.adl_flight_aircraft
adl/ETA_AircraftPerf_Transition_Summary.md,dbo.adl_flight_core
adl/ETA_AircraftPerf_Transition_Summary.md,dbo.adl_flight_times
adl/ETA_AircraftPerf_Transition_Summary.md,dbo.aircraft_performance_apf
adl/ETA_AircraftPerf_Transition_Summary.md,dbo.aircraft_performance_opf
adl/ETA_AircraftPerf_Transition_Summary.md,dbo.aircraft_performance_profiles
adl/ETA_AircraftPerf_Transition_Summary.md,dbo.aircraft_performance_ptf
adl/ETA_AircraftPerf_Transition_Summary.md,defaults
adl/ETA_AircraftPerf_Transition_Summary.md,flight_times
adl/NAVDATA_IMPORT.md,ADL
adl/NAVDATA_IMPORT.md,Frequency
adl/NAVDATA_IMPORT.md,Navigraph
adl/NAVDATA_IMPORT.md,airways
